Маршрут (A — B),Рейтинг,Сделок,Поездок (строк),Водителей (уникальных),Сумма ставок,Средняя ставка
Благовещенск — Красноярск,0.01,2,2,2,79750,39875.0
Нальчик — Санкт-Петербург,0.0098,2,2,2,75000,37500.0
Нижний Новгород — Новосибирск,0.0097,2,2,2,70000,35000.0
Казань — Сургут,0.0096,2,2,2,65000,32500.0
Владикавказ — Ростов-на-Дону,0.0094,2,2,2,55000,27500.0
Москва — Пятигорск,0.0094,2,2,2,57000,28500.0
Минеральные Воды — Минеральные Воды,0.0094,3,3,2,9500,3166.67
Иркутск — Новосибирск,0.0094,2,2,2,55000,27500.0
Армавир — Москва,0.0093,2,2,2,53000,26500.0
Новосибирск — Тюмень,0.0092,2,2,2,47000,23500.0
Москва — Чебоксары,0.0092,2,2,2,50000,25000.0
Омск — Тольятти,0.0092,2,2,2,50000,25000.0
Новосибирск — Челябинск,0.0091,2,2,2,45000,22500.0
Москва — Орёл,0.0089,2,2,2,34000,17000.0
Иркутск — Красноярск,0.0089,2,2,2,35000,17500.0
Волгоград — Тольятти,0.0089,2,2,2,35000,17500.0
Ижевск — Тюмень,0.0089,2,2,2,35000,17500.0
Владивосток — Челябинск,0.0088,2,2,1,325000,162500.0
Кемерово — Омск,0.0087,2,2,2,25000,12500.0
Екатеринбург — Омск,0.0087,2,2,2,27000,13500.0
Саратов — Тольятти,0.0087,2,2,2,28000,14000.0
Казань — Уфа,0.0087,2,2,2,27000,13500.0
Омск — Тюмень,0.0085,2,2,2,20000,10000.0
Омск — Омск,0.0083,2,2,2,10000,5000.0
Пенза — Пенза,0.0082,2,2,2,7600,3800.0
Владивосток — Саратов,0.0072,1,1,1,300000,300000.0
Красноярск — Сочи,0.0054,2,2,1,180000,90000.0
Владивосток — Каменск-Шахтинский,0.0051,1,1,1,215000,215000.0
Казань — Хабаровск,0.0045,1,1,1,190000,190000.0
Уфа — Челябинск,0.0044,4,4,1,50000,12500.0
Владивосток — Набережные Челны,0.0043,1,1,1,180000,180000.0
Армавир — Хабаровск,0.0043,1,1,1,180000,180000.0
Владивосток — Ростов-на-Дону,0.0042,1,1,1,175000,175000.0
Краснодар — Красноярск,0.0042,2,2,1,130000,65000.0
Краснодар — Хабаровск,0.0041,1,1,1,170000,170000.0
Москва — Нижний Тагил,0.0039,2,2,1,117000,58500.0
Набережные Челны — Уссурийск,0.0039,1,1,1,165000,165000.0
Владивосток — Нижний Новгород,0.0037,1,1,1,156250,156250.0
Владивосток — Магадан,0.0035,1,1,1,148400,148400.0
Казань — Нижневартовск,0.0034,2,2,1,95500,47750.0
Краснодар — Тюмень,0.0032,2,2,1,90000,45000.0
Тольятти — Хабаровск,0.0029,1,1,1,120000,120000.0
Ростов-на-Дону — Чита,0.0024,1,1,1,100000,100000.0
Волгоград — Иркутск,0.0024,1,1,1,100000,100000.0
Санкт-Петербург — Улан-Удэ,0.0023,1,1,1,95000,95000.0
Иркутск — Санкт-Петербург,0.0023,1,1,1,95000,95000.0
Москва — Симферополь,0.0023,1,1,1,95000,95000.0
Ростов-на-Дону — Симферополь,0.0023,2,2,1,50000,25000.0
Саратов — Чита,0.0023,1,1,1,96000,96000.0
Курск — Москва,0.0021,2,2,1,42000,21000.0
Иркутск — Краснодар,0.0021,1,1,1,90000,90000.0
Нижний Новгород — Улан-Удэ,0.0019,1,1,1,80000,80000.0
Владимир — Москва,0.0019,2,2,1,33000,16500.0
Владивосток — Иркутск,0.0019,1,1,1,80000,80000.0
Калининград — Санкт-Петербург,0.0019,1,1,1,80000,80000.0
Минск — Санкт-Петербург,0.0018,1,1,1,75000,75000.0
Красноярск — Уфа,0.0018,1,1,1,75000,75000.0
Москва — Сковородино,0.0017,1,1,1,70000,70000.0
Оренбург — Тольятти,0.0017,2,2,1,27000,13500.0
Ишим — Санкт-Петербург,0.0017,1,1,1,70000,70000.0
Кемерово — Краснодар,0.0016,1,1,1,65000,65000.0
